Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.37E-08,info,1.08E-06,1.84E-07,184.4,,0
,'100,100% (200/200),3.30E-08,info,1.20E-06,1.93E-07,193.2,,0
,'010,100% (200/200),3.24E-08,info,1.14E-06,1.84E-07,183.5,,0
,'110,100% (200/200),4.17E-08,info,1.41E-06,2.21E-07,221.1,,0
,'001,100% (200/200),3.72E-08,info,1.18E-06,2.00E-07,200.2,,0
,'101,100% (200/200),3.86E-08,info,1.45E-06,2.25E-07,224.7,,0
,'011,100% (200/200),3.63E-08,info,1.32E-06,2.05E-07,204.7,,0
,'111,100% (200/200),3.99E-08,info,1.37E-06,2.12E-07,211.9,,0
S2,,,,,,,0,,
,'00000,100% (200/200),2.39E-08,info,8.12E-07,1.28E-07,127.6,,0
,'10000,100% (200/200),2.06E-08,info,8.19E-07,1.26E-07,125.5,,0
,'01000,100% (200/200),2.13E-08,info,8.26E-07,1.27E-07,127.2,,0
,'11000,100% (200/200),2.28E-08,info,8.89E-07,1.37E-07,137,,0
,'00100,100% (200/200),2.29E-08,info,8.17E-07,1.27E-07,127.1,,0
,'10100,100% (200/200),2.03E-08,info,8.26E-07,1.27E-07,126.6,,0
,'01100,100% (200/200),2.53E-08,info,8.67E-07,1.33E-07,133.1,,0
,'11100,100% (200/200),2.35E-08,info,9.23E-07,1.37E-07,136.9,,0
,'00010,100% (200/200),2.75E-08,info,8.77E-07,1.43E-07,142.6,,0
,'10010,100% (200/200),2.02E-08,info,7.57E-07,1.20E-07,120.3,,0
,'01010,100% (200/200),2.09E-08,info,7.65E-07,1.22E-07,122.1,,0
,'11010,100% (200/200),2.23E-08,info,8.18E-07,1.28E-07,127.5,,0
,'00110,100% (200/200),2.25E-08,info,7.55E-07,1.22E-07,122,,0
,'10110,100% (200/200),1.99E-08,info,7.64E-07,1.22E-07,121.5,,0
,'01110,100% (200/200),2.74E-08,info,9.97E-07,1.51E-07,151.3,,0
,'11110,100% (200/200),2.32E-08,info,9.30E-07,1.38E-07,138,,0
,'00001,100% (200/200),2.54E-08,info,8.75E-07,1.37E-07,137.4,,0
,'10001,100% (200/200),2.06E-08,info,8.19E-07,1.26E-07,125.5,,0
,'01001,100% (200/200),2.13E-08,info,8.26E-07,1.27E-07,127.2,,0
,'11001,100% (200/200),2.28E-08,info,8.89E-07,1.37E-07,137,,0
,'00101,100% (200/200),2.29E-08,info,8.17E-07,1.27E-07,127.1,,0
,'10101,100% (200/200),2.03E-08,info,8.26E-07,1.27E-07,126.6,,0
,'01101,100% (200/200),2.59E-08,info,9.33E-07,1.42E-07,141.6,,0
,'11101,100% (200/200),2.32E-08,info,9.30E-07,1.38E-07,138,,0
,'00011,100% (200/200),2.87E-08,info,9.31E-07,1.48E-07,147.7,,0
,'10011,100% (200/200),2.08E-08,info,8.07E-07,1.23E-07,123.4,,0
,'01011,100% (200/200),2.13E-08,info,8.14E-07,1.25E-07,124.9,,0
,'11011,100% (200/200),2.26E-08,info,8.67E-07,1.30E-07,130.2,,0
,'00111,100% (200/200),2.28E-08,info,8.05E-07,1.25E-07,124.6,,0
,'10111,100% (200/200),2.01E-08,info,8.14E-07,1.24E-07,124.1,,0
,'01111,100% (200/200),2.64E-08,info,1.00E-06,1.50E-07,150.1,,0
,'11111,100% (200/200),2.29E-08,info,9.37E-07,1.39E-07,139.1,,0
S3,,,,,,,0,,
,'000,100% (200/200),2.13E-08,info,7.19E-07,1.16E-07,115.8,,0
,'100,100% (200/200),2.08E-08,info,7.79E-07,1.23E-07,123,,0
,'010,100% (200/200),2.05E-08,info,7.24E-07,1.16E-07,115.8,,0
,'110,100% (200/200),2.05E-08,info,7.86E-07,1.24E-07,124.2,,0
,'001,100% (200/200),1.90E-08,info,7.58E-07,1.18E-07,117.7,,0
,'101,100% (200/200),1.78E-08,info,7.06E-07,1.10E-07,110.4,,0
,'011,100% (200/200),2.37E-08,info,7.76E-07,1.24E-07,123.6,,0
,'111,100% (200/200),1.85E-08,info,7.21E-07,1.12E-07,112.2,,0
